word	part_of_speech	category
sewed	a	Clothing, Materials and Dressing Actions
booby	n	Body Parts and Related Terms
quiet	a,n,v	Personal Characteristics and Behaviors
degage	a	"Items, Actions and Concepts Starting with ""D"""
bispak	n	Islamic and Middle Eastern Terms
sutler	n	Occupations and Personal Descriptors
okeh	n	Gender, Family and Greetings
adder	n	"Starting with ""A"" or ""E"""
sprite	n	Animals and Animal-Related Terms
pan	n,v	Actions and Roles
scut	n	Words Related to Shapes and Textures
veal	n	"""L-"" Words"
booger	n	"""B-"" Words and Objects"
caber	n	"""C-"" Words and Items"
alight	a,v	Modes of Transportation and Travel
pineal	a	Anatomical and Biological Terms
glib	a	"Words starting with ""G"""
loamy	a	Minerals and Geology
benzol	n	Chemical Compounds and Reactions
hanger	n	Binding, Restraining and Undoing
depone	v	"Items, Actions and Concepts Starting with ""D"""
acetyl	n	"Starting with ""A"" or ""E"""
baud	n	"""B-"" Words and Objects"
demode	a	"Items, Actions and Concepts Starting with ""D"""
prewar	a	"""P-"" Words"
hotbed	n	"""B-"" Words and Objects"
raptor	n	Animals and Animal-Related Terms
vexed	a	Negative and Disturbing Adjectives
obese	a	Weight, Strength, and Body Descriptors
dada	n	"Items, Actions and Concepts Starting with ""D"""
matman	n	Occupations and Personal Descriptors
begin	v	Actions and Roles
glowy	a	"""C-"" Words and Items"
mayfly	n	Negative and Disturbing Adjectives
relace	v	Binding, Restraining and Undoing
sarin	n	Chemical Compounds and Reactions
dozens	n	Numerals and Mathematical Terms
trogon	n	"""T-"" Words and Pairs"
urn	n	"Starting with ""A"" or ""E"""
tosh	n	"""T-"" Words and Pairs"
untrod	a	Binding, Restraining and Undoing
urus	n	"Starting with ""A"" or ""E"""
pestis	n	Medical, Insects, and Skin Conditions
rename	v	Actions and Roles
canty	a	"""C-"" Words and Items"
erbium	n	"""C-"" Words and Items"
lofty	a	Praise and Positivity
serape	n	Clothing, Materials and Dressing Actions
strict	a	Weight, Strength, and Body Descriptors
denote	v	Actions and Roles
tabard	n	Clothing, Materials and Dressing Actions
ade	n	"Starting with ""A"" or ""E"""
sales	n	Economic and Trade Terms
setup	n	Actions and Roles
slit	n,v	Words Related to Shapes and Textures
toque	n	"""T-"" Words and Pairs"
garble	v	"Words starting with ""G"""
tach	n	"""T-"" Words and Pairs"
delete	v	Actions and Roles
rhaphe	n	Plant and Tree Species
ooze	n,v	Hygiene, Health, and Bodily Functions
kola	n	"""C-"" Words and Items"
vendue	n	Economic and Trade Terms
boggle	v	Negative and Disturbing Adjectives
larval	a	Medical, Insects, and Skin Conditions
pledge	n,v	Verbs and Actions
fading	n	Emotional and Physical States
sponge	n,v	Negative and Disturbing Adjectives
bluish	a	Lights, Colors, and Visibility
bauble	n	Lights, Colors, and Visibility
dimout	n	Lights, Colors, and Visibility
deeds	n	Actions and Roles
devoir	n	Actions and Roles
buyer	n	Economic and Trade Terms
runoff	n	"""R-"" Words and Rotational Movements"
opal	n	"""O-"" Words"
axis	n	Weapons and Cutting Tools
limn	v	"""L-"" Words"
honkey	n	"""H-"" Words"
gallop	n,v	Actions and Descriptions
ravish	v	Crimes, Violence and Misdeeds
flask	n	Food, Cooking, and Ingredients
gonad	n	Anatomical and Biological Terms
marri	n	"""M-"" Words"
assent	n,v	Verbs and Actions
framer	n	Actions and Roles
babble	n,v	"Words starting with ""G"""
gangly	a	Personal Characteristics and Behaviors
path	n	Modes of Transportation and Travel
battle	n,v	Verbs and Actions
slaty	a	Words Related to Shapes and Textures
board	n,v	Actions and Roles
beach	n,v	Places and Spaces
oddish	a	"""O-"" Words"
marrow	n	"""M-"" Words"
greed	n	Emotional and Physical States
godown	n	Actions and Roles
smol	a	Negative and Disturbing Adjectives
camel	n	"""C-"" Words and Items"
frappe	n	Negative and Disturbing Adjectives
tiro	n	Weapons and Cutting Tools
sewing	n	Clothing, Materials and Dressing Actions
vile	a	Negative and Disturbing Adjectives
lupine	a,n	"""L-"" Words"
convoy	n,v	Modes of Transportation and Travel
merman	n	"""M-"" Words"
rap	n,v	"""R-"" Words and Rotational Movements"
cleave	v	"""C-"" Words and Items"
chorea	n	Actions and Descriptions
stalls	n	Places and Spaces
merl	n	"""M-"" Words"
pacify	v	Personal Characteristics and Behaviors
cement	n,v	Minerals and Geology
shindy	n	Actions and Descriptions
proved	a	Actions and Roles
wally	n	Actions and Descriptions
any	a	Actions and Roles
clade	n	"""C-"" Words and Items"
scathe	n	Words Related to Shapes and Textures
purr	n,v	Animals and Animal-Related Terms
afeard	a	Negative and Disturbing Adjectives
maleo	n	"""M-"" Words"
penal	a	Anatomical and Biological Terms
ail	n,v	"Starting with ""A"" or ""E"""
ordain	v	Verbs and Actions
cowpie	n	Animals and Animal-Related Terms
hand	n,v	Body Parts and Related Terms
ament	n	"Starting with ""A"" or ""E"""
lintel	n	Body Parts and Related Terms
croupy	a	Hygiene, Health, and Bodily Functions
column	n	"""C-"" Words and Items"
sniff	n,v	Nouns and Actions
nitid	a	Nouns and Actions
rondel	n	"""R-"" Words and Rotational Movements"
lovage	n	Food, Cooking, and Ingredients
ranee	n	"""R-"" Words and Rotational Movements"
signor	n	Occupations and Personal Descriptors
scat	n,v	Words Related to Shapes and Textures
pleach	v	Words Related to Shapes and Textures
hyrax	n	Animals and Animal-Related Terms
rbi	n	"""B-"" Words and Objects"
caviar	n	"""C-"" Words and Items"
owlish	a	"""O-"" Words"
geta	n	Body Parts and Related Terms
lash	n,v	"""L-"" Words"
nation	n	Nouns and Actions
call	n,v	Communication and Media
evil	a,n	Negative and Disturbing Adjectives
septic	a	Medical, Insects, and Skin Conditions
praise	n,v	Praise and Positivity
hustle	n,v	Fast-Paced and Intense Activities and States
tank	n,v	Modes of Transportation and Travel
belly	n,v	Body Parts and Related Terms
xii	a	Numerals and Mathematical Terms
pud	n	"""P-"" Words"
kasha	n	Food, Cooking, and Ingredients
manner	n	"""M-"" Words"
update	n,v	Actions and Roles
sure	a	Gender, Family and Greetings
blowzy	a	Lights, Colors, and Visibility
hoops	n	"""H-"" Words"
rinse	n,v	Hygiene, Health, and Bodily Functions
nervy	a	Anatomical and Biological Terms
waiter	n	Occupations and Personal Descriptors
darky	n	Lights, Colors, and Visibility
dash	n,v	"Items, Actions and Concepts Starting with ""D"""
temper	n,v	Fast-Paced and Intense Activities and States
dyed	a	"Items, Actions and Concepts Starting with ""D"""
mack	n	"""M-"" Words"
looper	n	"""L-"" Words"
tweak	n,v	Actions and Roles
canopy	n,v	"""C-"" Words and Items"
sash	n	"Items, Actions and Concepts Starting with ""D"""
part	n,v	"""P-"" Words"
ugly	a	Negative and Disturbing Adjectives
martin	n	"""M-"" Words"
pallor	n	"""P-"" Words"
zig	n	Alphabets, Animals, and Games
padded	a	"""P-"" Words"
eft	n	Actions and Roles
lyrate	a	Plant and Tree Species
dilute	a,v	Hygiene, Health, and Bodily Functions
unbar	v	"""B-"" Words and Objects"
crotch	n	Body Parts and Related Terms
jinni	n	Alphabets, Animals, and Games
catgut	n	Body Parts and Related Terms
elapid	n	Animals and Animal-Related Terms
lulz	n	Praise and Positivity
civics	n	"""C-"" Words and Items"
gadfly	n	Medical, Insects, and Skin Conditions
differ	v	Actions and Roles
nine	a,n	Numerals and Mathematical Terms
swanky	a	Praise and Positivity
wings	n	Actions and Descriptions
dunlin	n	Animals and Animal-Related Terms
plonk	n,v	Words Related to Shapes and Textures
piolet	n	"""P-"" Words"
inhume	v	"""B-"" Words and Objects"
peen	n	"""P-"" Words"
spik	n	Words Related to Shapes and Textures
bunny	n	Animals and Animal-Related Terms
cotter	n	"""C-"" Words and Items"
kapuka	n	"""P-"" Words"
juice	n	Food, Cooking, and Ingredients
street	n	Places and Spaces
dug	n	"Items, Actions and Concepts Starting with ""D"""
wit	n	Actions and Descriptions
helium	n	Chemical Compounds and Reactions
closer	n	Actions and Roles
numdah	n	Nouns and Actions
tepal	n	Plant and Tree Species
descry	v	Actions and Roles
cooker	n	Food, Cooking, and Ingredients
goad	n,v	Verbs and Actions
rigour	n	Weight, Strength, and Body Descriptors
unpin	v	"""P-"" Words"
rete	n	Verbs of Action and Change
gaunt	a	Personal Characteristics and Behaviors
behead	v	"Items, Actions and Concepts Starting with ""D"""
joggle	n,v	Actions and Descriptions
dental	a,n	Anatomical and Biological Terms
whidah	n	Animals and Animal-Related Terms
duple	a	"""T-"" Words and Pairs"
motor	a,n,v	Modes of Transportation and Travel
chela	n,n	Medical, Insects, and Skin Conditions
whale	n,v	Animals and Animal-Related Terms
hexed	a	Negative and Disturbing Adjectives
orris	n	"""O-"" Words"
stoop	n,v	Words Related to Shapes and Textures
cancan	n	"""C-"" Words and Items"
excuse	n,v	Verbs and Actions
vi	a	Actions and Roles
rectus	n	Anatomical and Biological Terms
sol	n	Lights, Colors, and Visibility
detail	n,v	Actions and Roles
yuppie	n	Negative and Disturbing Adjectives
ganof	n	Crimes, Violence and Misdeeds
pong	n	Alphabets, Animals, and Games
ribose	n	Chemical Compounds and Reactions
skanky	a	Occupations and Personal Descriptors
curry	n,v	Food, Cooking, and Ingredients
leg	n	Body Parts and Related Terms
saman	n	"""S-"" Words"
chard	n	Actions and Descriptions
palter	v	Verbs and Actions
lummox	n	Occupations and Personal Descriptors
saucer	n	Food, Cooking, and Ingredients
ombu	n	"""B-"" Words and Objects"
lading	n	"""L-"" Words"
pseudo	a,n	Gossip, Deception, and Games
fever	n	Medical, Insects, and Skin Conditions
lxvii	a	Numerals and Mathematical Terms
decant	v	Hygiene, Health, and Bodily Functions
threat	n	Negative and Disturbing Adjectives
litter	n,v	Negative and Disturbing Adjectives
creep	n,v	Actions and Descriptions
coxa	n	Body Parts and Related Terms
serval	n	Animals and Animal-Related Terms
mealie	n	Food, Cooking, and Ingredients
afoul	a	Negative and Disturbing Adjectives
carton	n	"""C-"" Words and Items"
pandar	n	"""P-"" Words"
biased	a	Gossip, Deception, and Games
poach	v	Food, Cooking, and Ingredients
pogrom	n	Crimes, Violence and Misdeeds
primal	a	"""P-"" Words"
onyxis	n	Medical, Insects, and Skin Conditions
bonnie	a	Weight, Strength, and Body Descriptors
dolt	n	Occupations and Personal Descriptors
glary	a	Lights, Colors, and Visibility
cxx	a	Numerals and Mathematical Terms
sooth	n	Personal Characteristics and Behaviors
felony	n	Crimes, Violence and Misdeeds
em	n	"Starting with ""A"" or ""E"""
granny	n	Gender, Family and Greetings
guck	n	Actions and Roles
cahoot	n	"""C-"" Words and Items"
salon	n	Places and Spaces
serow	n	Animals and Animal-Related Terms
slag	n,v	Temperature and Heat-Related Terms
cowage	n	"""C-"" Words and Items"
lecher	n	"""L-"" Words"
albedo	n	"Starting with ""A"" or ""E"""
hooray	n	"""H-"" Words"
dotrel	n	"""R-"" Words and Rotational Movements"
hyoid	a,n	Anatomical and Biological Terms
dapple	n,v	Words Related to Shapes and Textures
goofy	a	"Words starting with ""G"""
drill	n,v	"Items, Actions and Concepts Starting with ""D"""
pretty	a	Praise and Positivity
deer	n	Animals and Animal-Related Terms
kylix	n	"""C-"" Words and Items"
esker	n	Words Related to Shapes and Textures
unseal	v	"""S-"" Words"
peaky	a	"""P-"" Words"
gazump	v	Crimes, Violence and Misdeeds
befit	v	Actions and Roles
pelage	n	"""P-"" Words"
beluga	n	Animals and Animal-Related Terms
trifid	a	"""T-"" Words and Pairs"
frog	n,v	Animals and Animal-Related Terms
loner	n	Actions and Roles
lulu	n	"""L-"" Words"
ramble	n,v	Modes of Transportation and Travel
lagune	n	Places and Spaces
unsafe	a	Actions and Roles
don	n,v	"Items, Actions and Concepts Starting with ""D"""
foetus	n	Anatomical and Biological Terms
rebel	n,v	Negative and Disturbing Adjectives
sienna	n	"""S-"" Words"
seidh	n	"""S-"" Words"
crisis	n	Negative and Disturbing Adjectives
livedo	n	Medical, Insects, and Skin Conditions
portal	n	Places and Spaces
gab	n,v	"Words starting with ""G"""
gunite	n	Minerals and Geology
gush	n,v	Hygiene, Health, and Bodily Functions
kiss	n,v	Nouns and Actions
tamp	n,v	"""T-"" Words and Pairs"
foal	n,v	Negative and Disturbing Adjectives
comity	n	Gender, Family and Greetings
race	n,v	"""R-"" Words and Rotational Movements"
dogged	a	Weight, Strength, and Body Descriptors
collie	n	Animals and Animal-Related Terms
hedge	n,v	"""B-"" Words and Objects"
fomite	n	Negative and Disturbing Adjectives
mecca	n	Islamic and Middle Eastern Terms
wince	n,v	Actions and Descriptions
hinge	n,v	Actions and Descriptions
apian	a	"Starting with ""A"" or ""E"""
hawser	n	"""H-"" Words"
rugby	n	Gossip, Deception, and Games
nutria	n	Animals and Animal-Related Terms
odour	n	Negative and Disturbing Adjectives
berate	v	Verbs and Actions
fardel	n	Negative and Disturbing Adjectives
flog	v	Negative and Disturbing Adjectives
nature	n	Nouns and Actions
corky	a	"""C-"" Words and Items"
lingo	n	Communication and Media
shamed	a	Verbs and Actions
babka	n	Food, Cooking, and Ingredients
ethnic	a,n	"""R-"" Words and Rotational Movements"
burial	n	"""B-"" Words and Objects"
baleen	n	Animals and Animal-Related Terms
stocky	a	Weight, Strength, and Body Descriptors
tunic	n	Clothing, Materials and Dressing Actions
bane	n	"""B-"" Words and Objects"
anuran	a,n	"Starting with ""A"" or ""E"""
rates	n	"""R-"" Words and Rotational Movements"
fist	n	Actions and Descriptions
bodice	n	Clothing, Materials and Dressing Actions
loo	n	"""L-"" Words"
log	n,v	Actions and Roles
neural	a	Anatomical and Biological Terms
aecium	n	Anatomical and Biological Terms
remand	n,v	Verbs of Action and Change
talkie	n	Communication and Media
gleet	n	Lights, Colors, and Visibility
genius	n	Alphabets, Animals, and Games
vim	n	Actions and Roles
gravel	n,v	Minerals and Geology
famed	a	Praise and Positivity
gas	n,v	"Words starting with ""G"""
owing	a	Actions and Roles
smooth	a,n,v	Personal Characteristics and Behaviors
tipple	n,v	"""T-"" Words and Pairs"
mortal	a,n	Fast-Paced and Intense Activities and States
scaler	n	Words Related to Shapes and Textures
flake	n,v	Negative and Disturbing Adjectives
cosset	v	Actions and Descriptions
nest	n,v	Nouns and Actions
boozer	n	Food, Cooking, and Ingredients
mulch	n,v	Minerals and Geology
victor	n	Occupations and Personal Descriptors
decor	n	"Items, Actions and Concepts Starting with ""D"""
dregs	n	Negative and Disturbing Adjectives
bong	n,v	"""B-"" Words and Objects"
ahorse	a	Animals and Animal-Related Terms
fan	n,v	Praise and Positivity
funded	a	Economic and Trade Terms
beware	v	Personal Characteristics and Behaviors
bedim	v	Lights, Colors, and Visibility
bowman	n	"""B-"" Words and Objects"
flee	v	Negative and Disturbing Adjectives
count	n,v	Actions and Roles
malt	n,v	"""M-"" Words"
pooler	n	"""P-"" Words"
dkl	n	Numerals and Mathematical Terms
paving	n	"""P-"" Words"
sciara	n	Medical, Insects, and Skin Conditions
urchin	n	Occupations and Personal Descriptors
canary	a,n	Animals and Animal-Related Terms
tierce	n	"""T-"" Words and Pairs"
cool	a,n,v	Temperature and Heat-Related Terms
pliers	n	"""P-"" Words"
parch	v	"""P-"" Words"
gnu	n	Actions and Roles
rancor	n	Verbs and Actions
nexus	n	Anatomical and Biological Terms
weird	a	Negative and Disturbing Adjectives
lariat	n	Binding, Restraining and Undoing
pox	n	Medical, Insects, and Skin Conditions
dopa	n	Food, Cooking, and Ingredients
trowel	n,v	"Items, Actions and Concepts Starting with ""D"""
lager	n	"""L-"" Words"
rider	n	Modes of Transportation and Travel
taxman	n	Economic and Trade Terms
reseat	v	Places and Spaces
fixer	n	Actions and Roles
ditch	n,v	"""H-"" Words"
tog	v	"""T-"" Words and Pairs"
ulama	n	Islamic and Middle Eastern Terms
filar	a	Negative and Disturbing Adjectives
tamer	n	Personal Characteristics and Behaviors
bigwig	n	Occupations and Personal Descriptors
annon	n	"Starting with ""A"" or ""E"""
gamut	n	Actions and Roles
gyrus	n	"""R-"" Words and Rotational Movements"
bouncy	a	"""B-"" Words and Objects"
ivory	n	Lights, Colors, and Visibility
gust	n	Temperature and Heat-Related Terms
daimon	n	Negative and Disturbing Adjectives
cachet	n	Praise and Positivity
honk	n,v	"""H-"" Words"
combed	a	"""C-"" Words and Items"
annual	a,n	"Starting with ""A"" or ""E"""
pogey	n	"""B-"" Words and Objects"
hugger	n	Negative and Disturbing Adjectives
clutch	n,v	"""C-"" Words and Items"
octal	a	Numerals and Mathematical Terms
alms	n	Weapons and Cutting Tools
lollop	v	"""L-"" Words"
avian	a	"Starting with ""A"" or ""E"""
zippo	n	Alphabets, Animals, and Games
bathos	n	Emotional and Physical States
kindly	a	Personal Characteristics and Behaviors
gilled	a	Animals and Animal-Related Terms
racing	n	Modes of Transportation and Travel
leppy	n	"""L-"" Words"
sail	n,v	Places and Spaces
shelf	n	Places and Spaces
outre	a	Actions and Roles
hearty	a	"""H-"" Words"
coax	n,v	Binding, Restraining and Undoing
cutlas	n	Weapons and Cutting Tools
bye	n	Gender, Family and Greetings
slosh	v	Words Related to Shapes and Textures
pulque	n	Plant and Tree Species
slushy	a	Words Related to Shapes and Textures
sulky	a,n	Emotional and Physical States
banger	n	"""B-"" Words and Objects"
coss	n	"""C-"" Words and Items"
snooty	a	Nouns and Actions
retail	n,v	Economic and Trade Terms
batter	n,v	"""B-"" Words and Objects"
hardy	a	Weight, Strength, and Body Descriptors
corny	a	"""C-"" Words and Items"
smug	a	Negative and Disturbing Adjectives
rover	n	Modes of Transportation and Travel
cock	n,v	"""C-"" Words and Items"
dinghy	n	Places and Spaces
cive	n	"""C-"" Words and Items"
unbent	a	"""B-"" Words and Objects"
remora	n	Animals and Animal-Related Terms
eaves	n	Places and Spaces
ninon	n	Nouns and Actions
behave	v	"""B-"" Words and Objects"
vulva	n	Anatomical and Biological Terms
beaten	a	"""B-"" Words and Objects"
clause	n	Actions and Roles
vamp	n,v	Alphabets, Animals, and Games
wain	n	Modes of Transportation and Travel
sultan	n	Occupations and Personal Descriptors
inhere	v	Verbs of Action and Change
fabian	a	Negative and Disturbing Adjectives
futon	n	Places and Spaces
round	a,n,v	"""R-"" Words and Rotational Movements"
imbrue	v	Verbs and Actions
create	v	Actions and Roles
kudu	n	Animals and Animal-Related Terms
kimono	n	Clothing, Materials and Dressing Actions
fog	n,v	Negative and Disturbing Adjectives
twit	n,v	"""T-"" Words and Pairs"
atrip	a	"""T-"" Words and Pairs"
wind	n,n,v,v	Temperature and Heat-Related Terms
spadix	n	Words Related to Shapes and Textures
kennel	n,v	Places and Spaces
cutter	n	Weapons and Cutting Tools
maraud	n,v	Crimes, Violence and Misdeeds
thrum	n,v	Actions and Descriptions
rayon	n	"""R-"" Words and Rotational Movements"
beigel	n	"""B-"" Words and Objects"
unseen	a,n	Binding, Restraining and Undoing
showy	a	Praise and Positivity
iota	n	Actions and Roles
sennit	n	"""S-"" Words"
resew	v	Verbs of Action and Change
wrench	n,v	Binding, Restraining and Undoing
share	n,v	Actions and Roles
steamy	a	Negative and Disturbing Adjectives
webcam	n	Communication and Media
tad	n	"""T-"" Words and Pairs"
ligule	n	Plant and Tree Species
quota	n	Actions and Descriptions
nanna	n	Gender, Family and Greetings
pulse	n,v	Fast-Paced and Intense Activities and States
firth	n	Negative and Disturbing Adjectives
calyx	n	"""C-"" Words and Items"
burqa	n	Clothing, Materials and Dressing Actions
grub	n,v	"Words starting with ""G"""
yack	n,v	Gender, Family and Greetings
blotch	n,v	Words Related to Shapes and Textures
jihadi	a	Islamic and Middle Eastern Terms
wily	a	Personal Characteristics and Behaviors
osprey	n	Animals and Animal-Related Terms
woeful	a	Emotional and Physical States
rudd	n	"""R-"" Words and Rotational Movements"
gayal	n	Animals and Animal-Related Terms
sealer	n	"""S-"" Words"
tax	n,v	Economic and Trade Terms
natty	a	Praise and Positivity
medal	n	Praise and Positivity
eyrir	n	"Starting with ""A"" or ""E"""
warty	a	Medical, Insects, and Skin Conditions
adverb	n	"Starting with ""A"" or ""E"""
inter	v	Actions and Roles
stodge	n	Food, Cooking, and Ingredients
taper	n,v	"""T-"" Words and Pairs"
shut	a,v	Actions and Roles
beaut	n	Praise and Positivity
behind	a,n	"""B-"" Words and Objects"
loft	n,v	Places and Spaces
porch	n	Places and Spaces
jalopy	n	Modes of Transportation and Travel
tux	n	"""T-"" Words and Pairs"
starve	v	Emotional and Physical States
ursine	a	Negative and Disturbing Adjectives
theory	n	Actions and Roles
usurer	n	Economic and Trade Terms
ill	a,n	Numerals and Mathematical Terms
fuss	n,v	Negative and Disturbing Adjectives
demure	a	Personal Characteristics and Behaviors
cutch	n	"""C-"" Words and Items"
tarsus	n	Body Parts and Related Terms
enable	v	Actions and Roles
dingle	n	Actions and Descriptions
narwal	n	Animals and Animal-Related Terms
bulgy	a	Lights, Colors, and Visibility
ridgil	n	"""R-"" Words and Rotational Movements"
mitt	n	"""M-"" Words"
moll	n	"""M-"" Words"
lactic	a	"Starting with ""A"" or ""E"""
bruise	n,v	Lights, Colors, and Visibility
pouter	n	"""P-"" Words"
zill	n	Alphabets, Animals, and Games
jet	a,n,v	Alphabets, Animals, and Games
shallu	n	Actions and Descriptions
salaah	n	Islamic and Middle Eastern Terms
milage	n	"""M-"" Words"
afters	n	Actions and Roles
drafty	a	Temperature and Heat-Related Terms
oppugn	v	Verbs and Actions
banter	n,v	Gossip, Deception, and Games
khi	n	Islamic and Middle Eastern Terms
undone	a	Binding, Restraining and Undoing
reboot	v	"""B-"" Words and Objects"
humped	a	"""H-"" Words"
rondo	n	"""R-"" Words and Rotational Movements"
oblige	v	Verbs and Actions
sliver	n,v	Words Related to Shapes and Textures
coccus	n	Medical, Insects, and Skin Conditions
schmo	n	Actions and Descriptions
rani	n	"""R-"" Words and Rotational Movements"
favus	n	Medical, Insects, and Skin Conditions
frond	n	Words Related to Shapes and Textures
drain	n,v	Hygiene, Health, and Bodily Functions
wash	n,v	Hygiene, Health, and Bodily Functions
fry	n,v	Food, Cooking, and Ingredients
piton	n	Animals and Animal-Related Terms
cruise	n,v	Modes of Transportation and Travel
luffa	n	"""L-"" Words"
gun	n,v	Weapons and Cutting Tools
grove	n	"Words starting with ""G"""
fatal	a	Negative and Disturbing Adjectives
vara	n	Actions and Roles
ceding	n	Actions and Roles
shunt	n,v	Actions and Descriptions
delf	n	"Items, Actions and Concepts Starting with ""D"""
noria	n	"""M-"" Words"
stater	n	Words Related to Shapes and Textures
secure	a,v	Actions and Roles
spire	n	Words Related to Shapes and Textures
mombin	n	Plant and Tree Species
ripsaw	n	Weapons and Cutting Tools
humify	v	Verbs and Actions
cerous	a	"""C-"" Words and Items"
beaded	a	"""B-"" Words and Objects"
cur	n	Actions and Roles
smoggy	a	Negative and Disturbing Adjectives
filmed	a	Communication and Media
japorn	n	Alphabets, Animals, and Games
benne	n	"""B-"" Words and Objects"
gizmo	n	Actions and Roles
repay	v	Verbs of Action and Change
hawk	n,v	"""H-"" Words"
serene	a	Personal Characteristics and Behaviors
rabbet	n,v	"""B-"" Words and Objects"
sill	n	Words Related to Shapes and Textures
wirer	n	Binding, Restraining and Undoing
touchy	a	Negative and Disturbing Adjectives
pilaw	n	Food, Cooking, and Ingredients
glare	n,v	Lights, Colors, and Visibility
regram	v	Verbs of Action and Change
hair	n	Clothing, Materials and Dressing Actions
tanned	a	"""T-"" Words and Pairs"
gamba	n	Body Parts and Related Terms
sucre	n	Food, Cooking, and Ingredients
nm	n	Nouns and Actions
piglet	n	"""P-"" Words"
foster	a,v	Actions and Roles
aroid	a,n	Plant and Tree Species
roomy	a,n	Places and Spaces
shard	n	Actions and Descriptions
lava	n	Temperature and Heat-Related Terms
hansom	n	"""H-"" Words"
strand	n,v	Words Related to Shapes and Textures
slippy	a	Words Related to Shapes and Textures
stanza	n	Places and Spaces
boney	a	Weight, Strength, and Body Descriptors
floe	n	Negative and Disturbing Adjectives
marge	n	"""B-"" Words and Objects"
mule	n	Animals and Animal-Related Terms
escarp	n	Words Related to Shapes and Textures
flex	n,v	Words Related to Shapes and Textures
pawer	n	Temperature and Heat-Related Terms
maw	n	"""M-"" Words"
seek	n,v	Actions and Roles
champ	n,v	Occupations and Personal Descriptors
el	n	"Starting with ""A"" or ""E"""
worn	a	Clothing, Materials and Dressing Actions
on	a	Actions and Roles
laying	n	"""L-"" Words"
resid	n	Food, Cooking, and Ingredients
bleu	n	Lights, Colors, and Visibility
subdue	v	Personal Characteristics and Behaviors
give	n,v	Actions and Roles
glitch	n,v	Negative and Disturbing Adjectives
toast	n,v	Food, Cooking, and Ingredients
gateau	n	Food, Cooking, and Ingredients
shucks	n	Actions and Descriptions
raj	n	"""R-"" Words and Rotational Movements"
month	n	Actions and Roles
lemma	n	Actions and Roles
muslin	n	Clothing, Materials and Dressing Actions
agate	n	Actions and Roles
exult	v	Praise and Positivity
mates	n	Gender, Family and Greetings
become	v	Actions and Roles
bunk	n,v	Gossip, Deception, and Games
chewer	n	Nouns and Actions
crack	a,n,v	"""C-"" Words and Items"
faggot	n,v	Negative and Disturbing Adjectives
lahar	n	Temperature and Heat-Related Terms
doh	n	Gender, Family and Greetings
solved	a	Actions and Roles
squawk	n,v	Actions and Descriptions
birle	v	"""B-"" Words and Objects"
sparse	a	Words Related to Shapes and Textures
ixl	a	Numerals and Mathematical Terms
occur	v	Verbs and Actions
turbot	n	Animals and Animal-Related Terms
evoked	a	Verbs and Actions
robe	n,v	"""R-"" Words and Rotational Movements"
fennel	n	Food, Cooking, and Ingredients
cytol	n	"""C-"" Words and Items"
musing	a,n	"""M-"" Words"
driven	a	Modes of Transportation and Travel
astral	a	Words Related to Shapes and Textures
mirage	n	Actions and Roles
deepen	v	Places and Spaces
fouled	a	Negative and Disturbing Adjectives
clammy	a	Negative and Disturbing Adjectives
propyl	n	Chemical Compounds and Reactions
delist	v	"Items, Actions and Concepts Starting with ""D"""
oryx	n	Animals and Animal-Related Terms
lek	n	"""L-"" Words"
bovine	a,n	Animals and Animal-Related Terms
conch	n	"""C-"" Words and Items"
aalii	n	"Starting with ""A"" or ""E"""
ben	n	"""B-"" Words and Objects"
clink	n,v	"""C-"" Words and Items"
skate	n,v	Modes of Transportation and Travel
shiksa	n	Actions and Descriptions
tidy	a,n,v	Praise and Positivity
misfit	n	Actions and Roles
cent	n	Actions and Roles
gorget	n	"Words starting with ""G"""
argufy	v	Verbs and Actions
order	n,v	Actions and Roles
rescue	n,v	"""S-"" Words"
prig	n	"""P-"" Words"
slurry	n	Words Related to Shapes and Textures
nervus	n	Anatomical and Biological Terms
anvil	n	Weapons and Cutting Tools
wilt	n,v	Emotional and Physical States
swerve	n,v	Modes of Transportation and Travel
wanter	n	Actions and Descriptions
puck	n	"""P-"" Words"
momot	n	"""M-"" Words"
manul	n	"""M-"" Words"
lough	n	"""L-"" Words"
haste	n	Fast-Paced and Intense Activities and States
stool	n,v	Anatomical and Biological Terms
verbal	a	Communication and Media
ditty	n	"Items, Actions and Concepts Starting with ""D"""
latish	a	"""L-"" Words"
larder	n	Places and Spaces
peppy	a	Fast-Paced and Intense Activities and States
gyral	a	"""R-"" Words and Rotational Movements"
groyne	n	"Words starting with ""G"""
darner	n	"Items, Actions and Concepts Starting with ""D"""
crease	n,v	"""C-"" Words and Items"
dying	a,n	Emotional and Physical States
slider	n	Words Related to Shapes and Textures
chufa	n	Plant and Tree Species
supper	n	Food, Cooking, and Ingredients
pal	n,v	"""P-"" Words"
sprawl	n,v	Words Related to Shapes and Textures
rebate	n,v	Economic and Trade Terms
weedy	a	Food, Cooking, and Ingredients
faker	n	Negative and Disturbing Adjectives
dupery	n	Gossip, Deception, and Games
hazy	a	Negative and Disturbing Adjectives
bocci	n	"""B-"" Words and Objects"
areola	n	Actions and Roles
opera	n	Actions and Roles
aggro	n	"Words starting with ""G"""
rake	n,v	"""R-"" Words and Rotational Movements"
dawdle	v	Actions and Descriptions
going	a,n	Actions and Roles
bog	n,v	"""B-"" Words and Objects"
